无油樟科	Amborellaceae
独蕊草科	Hydatellaceae
莼菜科	Cabombaceae
睡莲科	Nymphaeaceae
木兰藤科	Austrobaileyaceae
苞被木科	Trimeniaceae
五味子科	Schisandraceae
白樟科	Canellaceae
林仙科	Winteraceae
三白草科	Saururaceae
胡椒科	Piperaceae
马兜铃科	Aristolochiaceae
肉豆蔻科	Myristicaceae
木兰科	Magnoliaceae
单心木兰科	Degeneriaceae
瓣蕊花科	Himantandraceae
帽花木科	Eupomatiaceae
番荔枝科	Annonaceae
蜡梅科	Calycanthaceae
坛罐花科	Siparunaceae
奎乐果科	Gomortegaceae
香皮檫科	Atherospermataceae
莲叶桐科	Hernandiaceae
玉盘桂科	Monimiaceae
樟科	Lauraceae
金粟兰科	Chloranthaceae
菖蒲科	Acoraceae
天南星科	Araceae
岩菖蒲科	Tofieldiaceae
泽泻科	Alismataceae
花蔺科	Butomaceae
水鳖科	Hydrocharitaceae
冰沼草科	Scheuchzeriaceae
水蕹科	Aponogetonaceae
水麦冬科	Juncaginaceae
花香蒲科	Maundiaceae
大叶藻科	Zosteraceae
眼子菜科	Potamogetonaceae
海神草科	Posidoniaceae
川蔓藻科	Ruppiaceae
丝粉藻科	Cymodoceaceae
无叶莲科	Petrosaviaceae
沼金花科	Nartheciaceae
水玉簪科	Burmanniaceae
薯蓣科	Dioscoreaceae
霉草科	Triuridaceae
翡若翠科	Velloziaceae
百部科	Stemonaceae
环花草科	Cyclanthaceae
露兜树科	Pandanaceae
翠菱花科	Campynemataceae
白玉簪科	Corsiaceae
藜芦科	Melanthiaceae
花须藤科	Petermanniaceae
六出花科	Alstroemeriaceae
秋水仙科	Colchicaceae
金钟木科	Philesiaceae
鱼篓藤科	Ripogonaceae
菝葜科	Smilacaceae
百合科	Liliaceae
兰科	Orchidaceae
耐旱草科	Boryaceae
火铃花科	Blandfordiaceae
聚星草科	Asteliaceae
雪绒兰科	Lanariaceae
仙茅科	Hypoxidaceae
矛花科	Doryanthaceae
鸢尾蒜科	Ixioliriaceae
蓝嵩莲科	Tecophilaeaceae
鸢尾科	Iridaceae
鸢尾麻科	Xeronemataceae
阿福花科	Asphodelaceae
石蒜科	Amaryllidaceae
天门冬科	Asparagaceae
鼓槌草科	Dasypogonaceae
棕榈科	Arecaceae
钵子草科	Hanguanaceae
鸭跖草科	Commelinaceae
田葱科	Philydraceae
雨久花科	Pontederiaceae
血草科	Haemodoraceae
鹤望兰科	Strelitziaceae
兰花蕉科	Lowiaceae
蝎尾蕉科	Heliconiaceae
芭蕉科	Musaceae
美人蕉科	Cannaceae
竹芋科	Marantaceae
闭鞘姜科	Costaceae
姜科	Zingiberaceae
香蒲科	Typhaceae
凤梨科	Bromeliaceae
泽蔺花科	Rapateaceae
黄眼草科	Xyridaceae
谷精草科	Eriocaulaceae
花水藓科	Mayacaceae
梭子草科	Thurniaceae
灯芯草科	Juncaceae
莎草科	Cyperaceae
帚灯草科	Restionaceae
须叶藤科	Flagellariaceae
拟苇科	Joinvilleaceae
沟秆草科	Ecdeiocoleaceae
禾本科	Poaceae
金鱼藻科	Ceratophyllaceae
领春木科	Eupteleaceae
罂粟科	Papaveraceae
星叶草科	Circaeasteraceae
木通科	Lardizabalaceae
防己科	Menispermaceae
小檗科	Berberidaceae
毛茛科	Ranunculaceae
清风藤科	Sabiaceae
莲科	Nelumbonaceae
悬铃木科	Platanaceae
山龙眼科	Proteaceae
昆栏树科	Trochodendraceae
黄杨科	Buxaceae
折扇叶科	Myrothamnaceae
大叶草科	Gunneraceae
五桠果科	Dilleniaceae
围盘树科	Peridiscaceae
芍药科	Paeoniaceae
蕈树科	Altingiaceae
金缕梅科	Hamamelidaceae
连香树科	Cercidiphyllaceae
虎皮楠科	Daphniphyllaceae
鼠刺科	Iteaceae
茶藨子科	Grossulariaceae
虎耳草科	Saxifragaceae
景天科	Crassulaceae
隐瓣藤科	Aphanopetalaceae
四心木科	Tetracarpaeaceae
扯根菜科	Penthoraceae
小二仙草科	Haloragaceae
锁阳科	Cynomoriaceae
葡萄科	Vitaceae
刺球果科	Krameriaceae
蒺藜科	Zygophyllaceae
皂皮树科	Quillajaceae
豆科	Fabaceae
海人树科	Surianaceae
远志科	Polygalaceae
