裸蒴苔科	Haplomitriaceae
离瓣苔科	Treubiaceae
壶苞苔科	Blasiaceae
叉托苔科	Neohodgsoniaceae
扭叶苔科	Riellaceae
单果苔科	Monocarpaceae
囊果苔科	Sphaerocarpaceae
半月苔科	Lunulariaceae
地钱科	Marchantiaceae
疣冠苔科	Aytoniaceae
毛地钱科	Dumortieraceae
单片苔科	Monocleaceae
蛇苔科	Conocephalaceae
钱苔科	Ricciaceae
单月苔科	Monosoleniaceae
柑皮苔科	Wiesnerellaceae
皮叶苔科	Targioniaceae
无柄山苔科	Aitchisoniellaceae
星孔苔科	Cleveaceae
光苔科	Cyathodiaceae
花地钱科	Corsiniaceae
侧叶苔科	Noterocladaceae
溪苔科	Pelliaceae
南溪苔科	Makinoaceae
苞片苔科	Calyculariaceae
瓣叶苔科	Petalophyllaceae
苞叶苔科	Allisoniaceae
小叶苔科	Fossombroniaceae
环叶苔科	Phyllothalliaceae
软叶苔科	Sandeothallaceae
波叶苔科	Moerckiaceae
膜苔科	Hymenophytaceae
带叶苔科	Pallaviciniaceae
紫叶苔科	Pleuroziaceae
绿片苔科	Aneuraceae
叉苔科	Metzgeriaceae
新绒苔科	Neotrichocoleaceae
毛叶苔科	Ptilidiaceae
南绒苔科	Herzogianthaceae
光萼苔科	Porellaceae
角叶苔科	Goebeliellaceae
多囊苔科	Lepidolaenaceae
扁萼苔科	Radulaceae
耳叶苔科	Frullaniaceae
毛耳苔科	Jubulaceae
细鳞苔科	Lejeuneaceae
歧舌苔科	Schistochilaceae
隐蒴苔科	Adelanthaceae
大萼苔科	Cephaloziaceae
拟大萼苔科	Cephaloziellaceae
挺叶苔科	Anastrophyllaceae
秃瓣苔科	Obtusifoliaceae
油裂叶苔科	Oleolophoziaceae
裂叶苔科	Lophoziaceae
合叶苔科	Scapaniaceae
睫毛苔科	Blepharostomataceae
短枝苔科	Brevianthaceae
拟兔耳苔科	Grolleaceae
剪叶苔科	Herbertaceae
复叉苔科	Lepicoleaceae
指叶苔科	Lepidoziaceae
齿萼苔科	Lophocoleaceae
须苔科	Mastigophoraceae
羽苔科	Plagiochilaceae
拟复叉苔科	Pseudolepicoleaceae
绒苔科	Trichocoleaceae
小萼苔科	Myliaceae
顶苞苔科	Acrobolbaceae
兔耳苔科	Antheliaceae
寒苔科	Arnelliaceae
小袋苔科	Balantiopsidaceae
睫叶苔科	Blepharidophyllaceae
护蒴苔科	Calypogeiaceae
内芽苔科	Endogemmaceae
地萼苔科	Geocalycaceae
全萼苔科	Gymnomitriaceae
圆口苔科	Gyrothyraceae
镰萼苔科	Harpanthaceae
长胞苔科	Hygrobiellaceae
甲克苔科	Jackiellaceae
叶苔科	Jungermanniaceae
假苞苔科	Notoscyphaceae
囊萼苔科	Saccogynaceae
管口苔科	Solenostomataceae
横叶苔科	Southbyaceae
南寒苔科	Stephaniellaceae
毛裂片苔科	Trichotemnomataceae
